2,26.8,19.4,38.2,20.2,0.2,104.8
3,30,18.4,16.4,23.2,1,89
4,50.6,24,20.8,30.8,2,128.2
5,80.2,39.8,38.6,32.6,3.4,194.6
6,143.6,66.6,58.6,30.6,1.2,300.6
7,258.4,75.2,80,42.4,2.8,458.8
8,342.6,86.6,110.2,60.4,1.2,601
9,331.6,85.8,173.8,83,2,676.2
10,375.8,85.4,229.2,86.6,1,778
11,370.4,97.2,287.6,78.6,1,834.8
12,373.6,112.6,406,73.8,1.6,967.6
13,360.6,119.6,344.2,80,1,905.4
14,320,133.2,400,84.4,2,939.6
15,352.8,120.2,497,88.8,1.4,1060.2
16,280.8,113.8,489.4,83,1.2,968.2
17,254.8,110,474.2,78.8,1.8,919.6
18,275.8,119.4,479.6,90.6,3.6,969
19,144,84.4,377.8,95,2.6,703.8
20,111.6,87.4,290.4,91,1,581.4
21,136,55.2,245.2,68.8,1.2,506.4
22,68.8,52,268,66.8,1.6,457.2
23,83.6,31.6,141.4,50.2,1.8,308.6
0,62.6,23.2,98.4,38.8,1.6,224.6
1,20.6,23.2,56.4,30,0.4,130.6
2,19.2,16.8,19,20,0.6,75.6
3,24.8,21.6,17,30.6,0.4,94.4
4,43.4,24,18.6,29.8,2,117.8
5,79.6,48.6,31.4,39.6,2.2,201.4
6,156,70.8,49.4,39.4,1,316.6
7,282.4,84.8,74.8,45,2.6,489.6
8,358.4,87.6,107.2,71,1.4,625.6
9,353,98.2,151.6,94.8,1,698.6
10,380,97.2,201.8,95.8,1.2,776
11,380.6,115.6,273.6,99.2,1,870
12,427.8,104.6,330,86.8,2.2,951.4
13,402.4,98,310.2,98.4,0.6,909.6
14,397,98.4,359.2,89,1,944.6
15,436.6,100.8,453,89.2,1.6,1081.2
16,326.4,112.2,460,92.8,1.8,993.2
17,252.2,90.2,492.4,98.8,2.2,935.8
18,235.2,82.2,497,103.2,2.2,919.8
19,126.8,78.8,337,97.8,1.2,641.6
20,104,73,258.6,84.2,1.8,521.6
21,142.2,60.6,267.8,77.6,2.2,550.4
22,83.5,36.5,262.1,65.9,2.8,450.8
23,94,36.6,301.4,55,2.6,489.6
0,59.2,21.4,100,41.8,1.2,223.6
1,21,21.4,45.2,32,0,119.6
2,15,25.8,22.6,25.6,0.2,89.2
3,25.4,19,13.8,22.2,0.8,81.2
4,39,29.6,17.6,31.8,1.8,119.8
5,66.4,45,26.8,32.8,1.4,172.4
6,140.4,69.4,47.2,40.6,1.8,299.4
7,259.2,89,79,52.4,2,481.6
8,325.2,91,112.8,70,1.4,600.4
9,315.2,89.6,199.6,96.2,0.8,701.4
10,346.8,92.6,239.6,100.8,2,781.8
11,371.2,100,300,98,2.4,871.6
12,354,105.2,368.4,81.8,1.4,910.8
13,327,129.6,349.8,91.2,1.8,899.4
14,332,114.8,382.6,94.4,0.8,924.6
15,373.4,119.4,449.2,97.8,1.2,1041
16,305.8,115.8,528.4,102.2,1.6,1053.8
17,334.8,99.6,502.8,105.2,3,1045.4
18,383,94.4,449.4,96.2,2,1025
19,155,86.8,311.2,96.8,2.6,652.4
20,116.2,63.6,256.2,88.8,1.2,526
21,150,57.8,298.8,76,2.6,585.2
22,73.4,38.8,388.2,66.2,2.8,569.4
23,81.6,32.2,137.8,46.2,3,300.8
0,77.2,25,88.6,36.4,0.4,227.6
1,20,16.8,42,31.8,0.2,110.8
2,16.8,19.2,12.4,22,0,70.4
3,26.2,17.8,14.4,30.2,0.4,89
4,43.8,29,18.2,33.2,2.8,127
5,62.8,44.6,26,38.6,0.8,172.8
6,140.2,65.2,47.4,41.2,1,295
7,253,89.2,63.8,56.6,2,464.6
8,324,88.4,105.4,67.6,1,586.4
9,301.6,92.6,144.6,90.2,1.4,630.4
10,324.8,81.8,192,101.6,1.2,701.4
11,337.8,99.6,248,91.6,2.4,779.4
12,333.2,103.6,299.6,99.6,1,837
13,313.4,121.4,304.6,88,0.4,827.8
14,289.6,112,346.4,105.4,0.8,854.2
15,344.4,94.2,411.6,105.4,2,957.6
16,303.8,94,414.2,100,1.6,913.6
17,296.2,102.6,437.4,95.2,3.6,935
18,282.2,87.8,410.2,98.2,2.2,880.6
19,139.4,83,320.8,105,2.4,650.6
20,100.2,66.6,237.6,80.6,1.4,486.4
21,152.2,49.8,226.8,70.4,2.6,501.8
22,78.2,45,266.8,66.2,4.6,460.8
23,74.6,33.8,163.2,42.8,2,316.4
0,84.6,19.6,105.8,38.6,1.4,250
1,21.6,20.8,39.8,26.2,0,108.4
2,16.6,15.6,16.4,24.4,0.2,73.2
3,22.6,19.2,11.4,29.2,0.8,83.2
4,36.6,23.6,17.2,31,2.2,110.6
5,63,36.8,21.8,33.6,1.8,157
6,118.2,58.4,34.2,29.2,1.2,241.2
7,224.6,66.2,58.6,43.2,2,394.6
8,288.6,70.4,96.4,53,1.4,509.8
9,311,67.4,153.4,78.4,1,611.2
10,315.8,70.8,201.2,85.2,1.4,674.4
11,337.2,86.6,245.2,89.6,2,760.6
